,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Ed Jovanovski,34,PHX,D,0.28,0.1,0.18,1.46,73,6.8,152,48,-3.9,100.8,43.1,56.9,20:29,1024,1:12,50,5,4,1,9,7,1,0.02,0.02,14
Eric Boulton,34,ATL,LW,0.14,0.09,0.06,0.74,51,11.8,85,60,-6.5,100.9,50.4,49.6,8:57,618,0:04,69,6,6,0,4,4,0,0,0,10
Fernando Pisani,34,CHI,RW,0.27,0.12,0.15,1.2,72,9.7,123,58.5,-11,100.8,36,64,12:34,754,0:13,60,7,6,1,9,9,0,0.017,0,16
Filip Kuba,34,OTT,D,0.25,0.03,0.22,1.19,76,2.6,176,43.2,-1.4,94.7,55.3,44.7,20:44,1327,2:07,64,2,2,0,14,6,7,0,0.109,16
Jeff Halpern,34,MTL,C,0.36,0.15,0.21,0.86,62,17.7,111,55.9,-6.1,103,43.1,56.9,12:44,917,0:07,72,11,10,0,15,15,0,0,0,26
Jody Shelley,34,PHI,LW,0.07,0.03,0.03,0.53,31,6.5,52,59.6,-11,101.5,38.6,61.4,6:11,359,0:03,58,2,2,0,2,2,0,0,0,4
Lubomir Visnovsky,34,ANA,D,0.84,0.22,0.62,1.88,152,11.8,339,44.8,7.8,102.8,45.1,54.9,24:18:00,1968,4:08,81,18,13,5,50,24,26,0.062,0.321,68
Mathieu Darche,34,MTL,LW,0.44,0.2,0.24,1.53,90,13.3,154,58.4,3.8,101.2,54.3,45.7,11:16,665,1:21,59,12,10,2,14,9,5,0.034,0.085,26
Matt Cullen,34,MIN,C,0.5,0.15,0.35,1.92,150,8,287,52.3,-2.8,99.4,42.1,57.9,18:02,1406,3:07,78,12,3,5,27,11,16,0.064,0.205,39
Mattias Ohlund,34,TBL,D,0.07,0,0.07,0.54,39,0,102,38.2,-8.9,99.4,38.8,61.2,18:43,1348,0:11,72,0,0,0,5,4,1,0,0.014,5
