,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Zach Sill,27,WSH,C,0.1,0.1,0,1.3,13,7.7,23,56.5,-1.9,97.6,48.1,51.9,9:56,9:08,0:03,10,1,1,0,0,0,0,0,0,1
Wayne Simmonds,27,PHI,RW,0.74,0.4,0.35,2.83,229,14,393,58.3,3.4,99.4,47.7,52.3,17:14,13:35,3:37,81,32,19,13,28,20,8,0.16,0.099,60
Ben Smith,27,TOT,RW,0.27,0.09,0.18,0.77,17,11.8,34,50,-7.1,103.9,32.8,67.2,12:06,10:20,0:05,22,2,2,0,4,4,0,0,0,6
Zack Smith,27,OTT,C,0.44,0.31,0.14,1.49,121,20.7,219,54.8,4.1,102,41.6,58.4,15:24,12:29,1:35,81,25,16,4,11,9,1,0.049,0.012,36
Nick Spaling,27,TOT,C,0.22,0.05,0.17,0.91,53,5.7,108,49.1,-10.6,101.6,39.9,60.1,14:17,11:59,0:05,58,3,3,0,10,10,0,0,0,13
Jordan Staal,27,CAR,C,0.59,0.24,0.34,1.84,151,13.2,271,55.7,3.9,99.5,43.6,56.4,18:18,14:44,1:47,82,20,14,6,28,22,4,0.073,0.049,48
Chris Summers,27,NYR,D,0,0,0,1.67,5,0,7,71.4,-2.8,89.3,36.4,63.6,15:23,14:16,0:00,3,0,0,0,0,0,0,0,0,0
Paul Thompson,27,NJD,RW,0,0,0,1,3,0,4,75,-5.8,103.3,50,50,12:32,12:26,0:02,3,0,0,0,0,0,0,0,0,0
Viktor Tikhonov,27,TOT,RW,0.12,0.06,0.06,0.82,41,7.3,84,48.8,-2.4,96.6,46.5,53.5,11:26,10:38,0:42,50,3,1,2,3,3,0,0.04,0,6
Jiri Tlusty,27,NJD,LW,0.13,0.07,0.07,1.27,38,5.3,64,59.4,0,99.4,41.7,58.3,13:43,12:27,0:51,30,2,1,1,2,1,1,0.033,0.033,4
Jonathan Toews,27,CHI,C,0.73,0.35,0.38,2.24,179,15.6,278,64.4,2.3,100.8,56.5,43.5,19:15,15:23,2:26,80,28,18,6,30,24,3,0.075,0.038,58
Yannick Weber,27,VAN,D,0.16,0,0.16,1.44,65,0,158,41.1,1.3,97.2,56.9,43.1,18:50,15:44,2:17,45,0,0,0,7,2,5,0,0.111,7
